id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
23.3	316.51	358.46	399.74	438.34	463.63	474.93	470.94	452.65	420.71	376.77	331.83	306.52
23.4	315.98	358.08	399.52	438.32	463.74	475.14	471.12	452.7	420.58	376.46	331.34	305.96
23.5	315.45	357.7	399.3	438.3	463.85	475.35	471.3	452.75	420.45	376.15	330.85	305.4
23.6	314.92	357.32	399.08	438.28	463.96	475.56	471.48	452.8	420.32	375.84	330.36	304.84
23.7	314.39	356.94	398.86	438.26	464.07	475.77	471.66	452.85	420.19	375.53	329.87	304.28
23.8	313.86	356.56	398.64	438.24	464.18	475.98	471.84	452.9	420.06	375.22	329.38	303.72
23.9	313.33	356.18	398.42	438.22	464.29	476.19	472.02	452.95	419.93	374.91	328.89	303.16
24	312.8	355.8	398.2	438.2	464.4	476.4	472.2	453	419.8	374.6	328.4	302.6
24.1	312.27	355.42	397.98	438.18	464.51	476.61	472.38	453.05	419.67	374.29	327.91	302.04
24.2	311.74	355.04	397.76	438.16	464.62	476.82	472.56	453.1	419.54	373.98	327.42	301.48
24.3	311.21	354.66	397.54	438.14	464.73	477.03	472.74	453.15	419.41	373.67	326.93	300.92
24.4	310.68	354.28	397.32	438.12	464.84	477.24	472.92	453.2	419.28	373.36	326.44	300.36
24.5	310.15	353.9	397.1	438.1	464.95	477.45	473.1	453.25	419.15	373.05	325.95	299.8
24.6	309.62	353.52	396.88	438.08	465.06	477.66	473.28	453.3	419.02	372.74	325.46	299.24
24.7	309.09	353.14	396.66	438.06	465.17	477.87	473.46	453.35	418.89	372.43	324.97	298.68
24.8	308.56	352.76	396.44	438.04	465.28	478.08	473.64	453.4	418.76	372.12	324.48	298.12
24.9	308.03	352.38	396.22	438.02	465.39	478.29	473.82	453.45	418.63	371.81	323.99	297.56
25	307.5	352	396	438	465.5	478.5	474	453.5	418.5	371.5	323.5	297
25.1	306.97	351.62	395.78	437.98	465.61	478.71	474.18	453.55	418.37	371.19	323.01	296.44
25.2	306.44	351.24	395.56	437.96	465.72	478.92	474.36	453.6	418.24	370.88	322.52	295.88
25.3	305.91	350.86	395.34	437.94	465.83	479.13	474.54	453.65	418.11	370.57	322.03	295.32
25.4	305.38	350.48	395.12	437.92	465.94	479.34	474.72	453.7	417.98	370.26	321.54	294.76
25.5	304.85	350.1	394.9	437.9	466.05	479.55	474.9	453.75	417.85	369.95	321.05	294.2
25.6	304.32	349.72	394.68	437.88	466.16	479.76	475.08	453.8	417.72	369.64	320.56	293.64
25.7	303.79	349.34	394.46	437.86	466.27	479.97	475.26	453.85	417.59	369.33	320.07	293.08
25.8	303.26	348.96	394.24	437.84	466.38	480.18	475.44	453.9	417.46	369.02	319.58	292.52
25.9	302.73	348.58	394.02	437.82	466.49	480.39	475.62	453.95	417.33	368.71	319.09	291.96
26	302.2	348.2	393.8	437.8	466.6	480.6	475.8	454	417.2	368.4	318.6	291.4
26.1	301.67	347.82	393.58	437.78	466.71	480.81	475.98	454.05	417.07	368.09	318.11	290.84
26.2	301.14	347.44	393.36	437.76	466.82	481.02	476.16	454.1	416.94	367.78	317.62	290.28
26.3	300.61	347.06	393.14	437.74	466.93	481.23	476.34	454.15	416.81	367.47	317.13	289.72
26.4	300.08	346.68	392.92	437.72	467.04	481.44	476.52	454.2	416.68	367.16	316.64	289.16
26.5	299.55	346.3	392.7	437.7	467.15	481.65	476.7	454.25	416.55	366.85	316.15	288.6
26.6	299.02	345.92	392.48	437.68	467.26	481.86	476.88	454.3	416.42	366.54	315.66	288.04
26.7	298.49	345.54	392.26	437.66	467.37	482.07	477.06	454.35	416.29	366.23	315.17	287.48
26.8	297.96	345.16	392.04	437.64	467.48	482.28	477.24	454.4	416.16	365.92	314.68	286.92
26.9	297.43	344.78	391.82	437.62	467.59	482.49	477.42	454.45	416.03	365.61	314.19	286.36
27	296.9	344.4	391.6	437.6	467.7	482.7	477.6	454.5	415.9	365.3	313.7	285.8
