id	Jan	Feb	Mar	April	May	June	Jul	Aug	Sept	Oct	Nov	Dec
48.7	80.4269	139.2271	214.4555	309.208732	382.7586	419.02895	406.6055	347.8155	260.2375	170.80585	100.0009	68.1838
48.8	79.8544	138.6416	213.888	308.812352	382.5536	418.9552	406.488	347.528	259.756	170.2096	99.4304	67.6288
48.9	79.2821	138.0559	213.3195	308.414808	382.3474	418.88055	406.3695	347.2395	259.2735	169.61265	98.8601	67.0742
49	78.71	137.47	212.75	308.0161	382.14	418.805	406.25	346.95	258.79	169.015	98.29	66.52
49.1	78.1381	136.8839	212.1795	307.616228	381.9314	418.72855	406.1295	346.6595	258.3055	168.41665	97.7201	65.9662
49.2	77.5664	136.2976	211.608	307.215192	381.7216	418.6512	406.008	346.368	257.82	167.8176	97.1504	65.4128
49.3	76.9949	135.7111	211.0355	306.812992	381.5106	418.57295	405.8855	346.0755	257.3335	167.21785	96.5809	64.8598
49.4	76.4236	135.1244	210.462	306.409628	381.2984	418.4938	405.762	345.782	256.846	166.6174	96.0116	64.3072
49.5	75.8525	134.5375	209.8875	306.0051	381.085	418.41375	405.6375	345.4875	256.3575	166.01625	95.4425	63.755
49.6	75.2816	133.9504	209.312	305.599408	380.8704	418.3328	405.512	345.192	255.868	165.4144	94.8736	63.2032
49.7	74.7109	133.3631	208.7355	305.192552	380.6546	418.25095	405.3855	344.8955	255.3775	164.81185	94.3049	62.6518
49.8	74.1404	132.7756	208.158	304.784532	380.4376	418.1682	405.258	344.598	254.886	164.2086	93.7364	62.1008
49.9	73.5701	132.1879	207.5795	304.375348	380.2194	418.08455	405.1295	344.2995	254.3935	163.60465	93.1681	61.5502
50	73	131.6	207.05	304	380	418	405	344	253.9	163	92.6	61
50.1	72.34645	131.0119	206.475425	303.59465	379.76495	417.8505	404.80535	343.6995	253.4055	162.3901	92.0321	60.36665
50.2	71.6958	130.4236	205.9007	303.1886	379.5298	417.702	404.6114	343.398	252.91	161.7804	91.4644	59.7366
50.3	71.04805	129.8351	205.325825	302.78185	379.29455	417.5545	404.41815	343.0955	252.4135	161.1709	90.8969	59.10985
50.4	70.4032	129.2464	204.7508	302.3744	379.0592	417.408	404.2256	342.792	251.916	160.5616	90.3296	58.4864
50.5	69.76125	128.6575	204.175625	301.96625	378.82375	417.2625	404.03375	342.4875	251.4175	159.9525	89.7625	57.86625
50.6	69.1222	128.0684	203.6003	301.5574	378.5882	417.118	403.8426	342.182	250.918	159.3436	89.1956	57.2494
